Reference PDB,ESMF PDB,error
3hw5.pdb,3hw5.pdb,
3ogi.pdb,3ogi.pdb,
5czc.pdb,5czc.pdb,
1uli.pdb,1uli.pdb,
2oqw.pdb,2oqw.pdb,
2pmz.pdb,2pmz.pdb,
1q40.pdb,1q40.pdb,
4bpy.pdb,4bpy.pdb,
1xeq.pdb,1xeq.pdb,
4qiw.pdb,4qiw.pdb,
5tvo.pdb,5tvo.pdb,
3ofn.pdb,3ofn.pdb,
2hii.pdb,2hii.pdb,
1orq.pdb,1orq.pdb,
3d1b.pdb,3d1b.pdb,
3wgx.pdb,3wgx.pdb,
2i06.pdb,2i06.pdb,invalid axis: 1 (ndim = 1)
1bun.pdb,1bun.pdb,
2caz.pdb,2caz.pdb,
2ckf.pdb,2ckf.pdb,
2qts.pdb,2qts.pdb,
3nv0.pdb,3nv0.pdb,
1aol.pdb,1aol.pdb,
3a1j.pdb,3a1j.pdb,
3ub1.pdb,3ub1.pdb,
3d37.pdb,3d37.pdb,
1li1.pdb,1li1.pdb,
2guz.pdb,2guz.pdb,
1nh2.pdb,1nh2.pdb,invalid axis: 1 (ndim = 1)
4e2t.pdb,4e2t.pdb,
2x7r.pdb,2x7r.pdb,
3sjq.pdb,3sjq.pdb,
1vib.pdb,1vib.pdb,
4cq4.pdb,4cq4.pdb,
2dd4.pdb,2dd4.pdb,
3psq.pdb,3psq.pdb,
2e52.pdb,2e52.pdb,
3me8.pdb,3me8.pdb,
3fz0.pdb,3fz0.pdb,
4j7z.pdb,4j7z.pdb,
1h3l.pdb,1h3l.pdb,
2p22.pdb,2p22.pdb,
1dm0.pdb,1dm0.pdb,
1aal.pdb,1aal.pdb,
